k,CVA_leg_sum
0,0
1,58.2155946653
2,62.7037325707
3,66.756194486
4,71.3704170194
5,75.5023135723
6,54.810584114
7,58.4170110952
8,61.6767718119
9,64.9967170518
10,67.507246052
11,70.3500409995
12,53.5590594262
13,55.1857019987
14,57.612353215
15,59.5463470817
16,61.9114345247
17,63.7927859055
18,50.329864353
19,51.3822329558
20,52.2980883389
21,53.5458532779
22,54.5389557106
23,56.7854913878
24,45.9047731197
25,46.4286208882
26,47.1866405238
27,47.7939083036
28,48.7455618828
29,49.6834091928
30,41.2924552817
31,40.8347843941
32,40.7814980875
33,41.1034214058
34,41.4060301628
35,42.4466734982
36,35.7640976309
37,35.6799171017
38,35.5997594335
39,35.7187070863
40,36.1481532599
41,36.6300703186
42,30.6577598242
43,29.6780892254
44,29.266687698
45,28.8628663487
46,28.6858947586
47,29.1633073547
48,23.0740533881
49,21.4209951753
50,20.3231463389
51,19.921294439
52,20.3238007673
53,21.471545846
54,12.9878391697
55,11.0584835892
56,10.4077752487
57,11.7944583556
58,15.6351969934
59,20.6247485322
60,0
