k,DVA_leg_sum
0,0
1,43.8528703397
2,47.0724700019
3,49.8514366706
4,52.9328882696
5,55.6903507115
6,41.4989692068
7,43.7834712983
8,45.9154833644
9,48.1697134841
10,49.8773534128
11,51.7485788317
12,39.775814623
13,40.7958705274
14,42.34673297
15,43.6281179889
16,45.2133459715
17,46.4613547319
18,36.3171878792
19,37.0743911553
20,37.7330463133
21,38.5514493809
22,39.3520197854
23,40.8393114901
24,32.2061977679
25,32.7063045911
26,33.3403144978
27,33.8525964956
28,34.5228743471
29,35.2035667771
30,28.1069989381
31,28.0785046264
32,28.23736239
33,28.6073481992
34,29.0654145956
35,29.9177776692
36,23.7016369804
37,23.9316499859
38,24.1450486554
39,24.4515957992
40,24.9735766619
41,25.5409149518
42,19.720595524
43,19.430208215
44,19.5035800632
45,19.5902297451
46,19.7784112266
47,20.3305553324
48,14.4041904246
49,13.796403552
50,13.4751535636
51,13.5600469045
52,14.0934790211
53,15.0627741697
54,7.87167827731
55,7.14297156222
56,7.11560802542
57,8.25668555446
58,10.8648843847
59,14.143663481
60,0
