k,CVA_leg,DVA_leg
0,0,0
1,57.7648736107,0.00774927666477
2,61.25437174,0.0412023044717
3,64.1712457062,0.0958231570596
4,67.6082792658,0.182035160029
5,70.6832935612,0.243200120913
6,49.0634202478,1.19002817421
7,52.0302813252,1.19738556936
8,54.6618361776,1.22518228979
9,57.5243887301,1.13528569874
10,59.5970462782,1.10615378885
11,61.9915334888,1.05823594766
12,42.4975951994,2.8465984662
13,44.253442906,2.64139451568
14,46.7617016298,2.43240797403
15,48.9195698674,2.20675326716
16,51.1319888273,2.08387894531
17,52.9092905581,1.96990975533
18,35.3494200359,4.26333098704
19,36.9347151782,3.95273515901
20,38.6081290851,3.5332751896
21,40.3553037805,3.24564758365
22,41.9950931175,2.88952599839
23,44.4451795349,2.63957276907
24,28.4588704697,5.24649627454
25,30.1024975521,4.70770683268
26,31.759631923,4.27113607494
27,33.5210177716,3.73862922003
28,35.3669329758,3.27224385924
29,37.1483328013,2.86443083915
30,22.7844153217,5.6925385949
31,23.9344599974,5.05438237472
32,25.3040777626,4.44719454589
33,26.8050471957,3.92147740981
34,28.5968515048,3.26507392896
35,30.6289412227,2.76806734302
36,17.6695931923,5.67340094917
37,19.351291357,4.93169406859
38,20.901124155,4.24343465298
39,22.4727565456,3.60007226047
40,24.1285066861,3.032554454
41,25.803944318,2.49287548647
42,13.4778432937,5.42248668314
43,14.7486530882,4.52497560561
44,16.2597267529,3.74359800972
45,17.7702492098,2.95879479241
46,19.2637868184,2.27687809368
47,21.1866033302,1.63461687248
48,9.21871157193,4.38069165749
49,10.2309737995,3.36366744406
50,11.5210265354,2.43255818505
51,13.0774006337,1.6335443667
52,14.9426592017,1.00201011377
53,17.133085798,0.489200271341
54,4.66194513411,2.62883192943
55,5.68338381264,1.52836059681
56,7.275147642,0.644755191049
57,9.67881245877,0.129063704784
58,13.0174057969,0.00155376416233
59,16.6694732367,0
60,0,0
TOTAL,1901.06718072,154.206308549
