k,CVA_leg,DVA_leg
0,0,0
1,0.455891917818,14.0891532303
2,1.02131293579,15.9301783445
3,1.56128149908,17.4719453206
4,1.93541756982,19.1212201922
5,2.08442864908,20.5752200161
6,6.36949832265,13.4856435304
7,6.17695041232,14.7349645741
8,6.15179762034,15.9071759957
9,5.75259499201,17.1808470234
10,5.53183679391,18.143243995
11,5.1911763014,19.1825030066
12,10.6280739083,12.6900475957
13,10.0400383918,13.389199539
14,9.30972021453,14.3589804156
15,8.56149663465,15.2072332074
16,8.10168992114,16.1394640132
17,7.7233368877,16.8992430442
18,13.8080191702,10.9522554419
19,12.9952544092,11.5860004095
20,11.8979059986,12.2339781848
21,10.9474881671,12.8563472259
22,10.0380200684,13.5420237499
23,9.23260474263,14.4947358288
24,15.8493164549,9.08703881263
25,14.5091970251,9.72172298542
26,13.336395952,10.3620639625
27,11.9171201648,10.9995045433
28,10.6741085277,11.6772187375
29,9.49575531307,12.3099608722
30,16.2833725744,7.48596157346
31,14.7265193763,7.9116609745
32,13.2013580702,8.40946445862
33,11.8726022602,8.96211438285
34,10.2401108339,9.64777995415
35,8.90658761384,10.4383370206
36,15.6117022011,5.97553841698
37,13.8046374465,6.60398624675
38,12.1270397003,7.18844159245
39,10.5631778937,7.78410278194
40,9.14023954008,8.43788406002
41,7.72502948497,9.10005575767
42,14.3348034447,4.77332806577
43,12.2590301028,5.23444528342
44,10.3987722866,5.80683500316
45,8.47772389748,6.37538912191
46,6.78379937423,6.94166696178
47,5.09916873668,7.65637261854
48,11.221565797,3.3622511308
49,8.91732420912,3.73673963172
50,6.7390264408,4.19951240681
51,4.80847408117,4.78326880507
52,3.14693917047,5.48447737112
53,1.73113434125,6.33460128129
54,6.6343884336,1.75317296287
55,4.12208380572,2.12202799161
56,1.95714164897,2.70040618169
57,0.506160482955,3.63841899628
58,0.0153336670603,5.09009223419
59,0,6.78705117565
60,0,0
TOTAL,492.652975882,599.054498242
