k,EPE,ENE
0,0,36587.8015453
1,11.6218855802,39081.944019
2,62.0090126873,41496.7483649
3,144.913535955,43557.1733838
4,276.484871747,45963.2406873
5,371.095643183,48240.5463717
6,1827.7182409,33680.5644725
7,1851.90604914,35880.0828814
8,1906.63404061,37859.6056273
9,1776.6860524,40123.4658935
10,1742.10187365,41882.5114812
11,1676.52135814,43836.878702
12,4538.65901786,30246.9084622
13,4242.28724784,31652.2609561
14,3932.04470668,33583.1209348
15,3587.22029574,35292.9318557
16,3403.33930605,37052.5974214
17,3235.40388438,38518.5611488
18,7048.68357462,25851.3520317
19,6578.48699534,27165.8277157
20,5920.86160568,28565.819242
21,5473.73744657,30022.4342155
22,4897.08543602,31402.5296992
23,4495.99519721,33336.5642053
24,8995.91478179,21420.8044463
25,8116.45056,22772.9478365
26,7406.10951269,24161.258157
27,6531.57777697,25664.2413657
28,5757.86251337,27200.0538089
29,5070.34461139,28674.5292217
30,10121.0202145,17679.5334687
31,9034.22125229,18705.4723146
32,8002.13242566,19907.1557642
33,7096.23017891,21176.4831129
34,5937.68075344,22697.7224852
35,5064.55043141,24447.9426014
36,10446.3399664,14155.6632402
37,9136.21541753,15571.855008
38,7912.60246515,16928.4866803
39,6753.57435349,18292.3163169
40,5712.44497993,19731.882098
41,4715.25276249,21227.1983208
42,10316.6662323,11150.5282822
43,8667.65396777,12262.3214348
44,7214.77222875,13591.5258411
45,5727.11002463,14927.5117425
46,4428.10858148,16243.9665325
47,3198.04371537,17934.2347388
48,8623.92935614,7841.59045932
49,6659.42263957,8752.24663258
50,4853.39389003,9911.68506677
51,3282.11849132,11306.4843017
52,2024.80618964,12982.5503093
53,994.710417249,14957.1728724
54,5370.93662651,4089.32906828
55,3140.96536036,5005.49913967
56,1334.56490069,6430.70182798
57,268.809316627,8603.37512216
58,3.25328695793,11634.7597608
59,0,14974.6781179
60,0,0
