k,PD_cpty,S_cpty
0,0,1
1,0.00340133455576,0.996598665444
2,0.00339526689256,0.993203398552
3,0.00338515481454,0.989818243737
4,0.00337436697994,0.986443876757
5,0.00336526418771,0.983078612569
6,0.00335902095989,0.97971959161
7,0.00335001223278,0.976369579377
8,0.00334170087171,0.973027878505
9,0.00333045962867,0.969697418876
10,0.00331853196615,0.96637888691
11,0.00331106672675,0.963067820184
12,0.00330333216938,0.959764488014
13,0.00328885687617,0.956475631138
14,0.00327581297491,0.953199818163
15,0.00326741757149,0.949932400592
16,0.00325523805771,0.946677162534
17,0.00323844218481,0.943438720349
18,0.00322089897455,0.940217821374
19,0.00320605848806,0.937011762886
20,0.00319678427744,0.933814978609
21,0.00319022769845,0.930624750911
22,0.00318118244251,0.927443568468
23,0.00316716770097,0.924276400767
24,0.00315120593687,0.92112519483
25,0.00313731146148,0.917987883369
26,0.00312544830536,0.914862435063
27,0.00311338372428,0.911749051339
28,0.00310329154063,0.908645759798
29,0.00309560445502,0.905550155343
30,0.00308484079409,0.902465314549
31,0.00307219939583,0.899393115153
32,0.00305622400939,0.896336891144
33,0.00304393417868,0.893292956965
34,0.00303304440246,0.890259912563
35,0.00302488641924,0.887235026144
36,0.00301346874791,0.884221557396
37,0.00300082781383,0.881220729582
38,0.00299042356333,0.878230306019
39,0.00297981402271,0.875250491996
40,0.00297168860192,0.872278803394
41,0.00296089556795,0.869317907826
42,0.00295234612423,0.866365561702
43,0.00294060023261,0.863424961469
44,0.00292732076202,0.860497640707
45,0.00291767701403,0.857579963693
46,0.00291059279449,0.854669370899
47,0.00290329221968,0.851766078679
48,0.0028968651656,0.848869213513
49,0.00288781332709,0.845981400186
50,0.00287359756846,0.843107802618
51,0.00286059432677,0.840247208291
52,0.00285149540385,0.837395712887
53,0.00284427109598,0.834551441791
54,0.00283336604446,0.831718075747
55,0.00282245865573,0.828895617091
56,0.00281005290074,0.82608556419
57,0.002794805375,0.823290758815
58,0.00278178541691,0.820508973398
59,0.00277016252949,0.817738810869
60,0.00276321594148,0.814975594927
