k,CVA_leg,DVA_leg
0,0,0
1,0.020122925498,26.0591790128
2,0.107089952258,27.5895565156
3,0.249328590438,28.837185494
4,0.473828980328,30.3178426271
5,0.633788041919,31.6935791882
6,3.11350008046,21.9981638647
7,3.14402575356,23.2863466673
8,3.22667032863,24.4351693271
9,2.99459291459,25.7674319382
10,2.92381104893,26.743675459
11,2.80554010744,27.8434458545
12,7.57235911956,19.1006744365
13,7.04222678684,19.8546101657
14,6.49706354403,20.9419835954
15,5.90822970252,21.8987573557
16,5.5808172923,22.8969720423
17,5.27459476754,23.683020809
18,11.4215042305,15.7991326406
19,10.6034712819,16.5031404281
20,9.50954098182,17.2454354805
21,8.76749658985,18.0201432393
22,7.81632256853,18.767442856
23,7.1396457921,19.8351356994
24,14.2037314127,12.6685138764
25,12.749742991,13.40269778
26,11.5817428175,14.1470952669
27,10.1674565191,14.9238532902
28,8.92753618967,15.7135382152
29,7.83633083368,16.4770233635
30,15.5763127773,10.1203695361
31,13.8363355722,10.6574050433
32,12.1826188585,11.2733610575
33,10.7516906996,11.9315676196
34,8.95712584731,12.7332681737
35,7.613377618,13.640169047
36,15.6317489923,7.85251871482
37,13.6028019018,8.59072611101
38,11.7303806705,9.2840650869
39,9.96820070044,9.97763186727
40,8.40132669154,10.7249600621
41,6.90357311766,11.4970804266
42,15.0477129755,6.00773898132
43,12.5809672252,6.56597045992
44,10.4154173742,7.23772645143
45,8.23300467354,7.91937213693
46,6.34427254001,8.58211002566
47,4.5661311807,9.42435975502
48,12.2741791029,4.0976663937
49,9.43941472453,4.55037175445
50,6.83889456921,5.11646840487
51,4.59933119272,5.79915473462
52,2.82556130496,6.62469905132
53,1.38316961265,7.58951364753
54,7.43214992078,2.06630901798
55,4.32515089491,2.51592440626
56,1.82771450419,3.21114947181
57,0.365753581639,4.27207740341
58,0.00440121094631,5.75037448345
59,0,7.35661230533
60,0,0
TOTAL,421.950832181,849.42146812
