k,EPE,ENE
0,0,6097.97540494
1,258.779654737,5544.21509757
2,775.635256633,5287.25725274
3,1352.00675701,5216.96695402
4,1916.60557975,5037.16707787
5,2452.56705295,4858.85384584
6,1544.0329195,7428.0727302
7,1909.18414905,7079.92804357
8,2248.77665636,6788.6815453
9,2664.36866938,6418.9198858
10,2976.75537513,6143.62456603
11,3328.53504138,5833.14451402
12,2112.00019582,8236.27712554
13,2367.05234152,7932.76991009
14,2675.49556197,7504.78248837
15,2908.45922385,7062.79856176
16,3217.5392281,6733.58116467
17,3490.73909762,6470.71607515
18,2231.83524922,8839.74015121
19,2428.57325545,8449.52522176
20,2640.05281628,7983.9442723
21,2825.74313326,7543.43558711
22,3037.09825346,7111.12662919
23,3357.5394922,6662.87335592
24,2113.37589126,9024.2423294
25,2327.49176766,8502.62042604
26,2520.786389,8004.17559962
27,2715.31222788,7414.73947576
28,2943.98242397,6881.95578763
29,3148.75821662,6374.14351181
30,1962.80783972,8670.22597145
31,2070.23490391,8080.07784715
32,2230.59406291,7502.82393625
33,2415.75150558,6969.81465445
34,2649.88560224,6318.64751945
35,2910.59020327,5712.75823707
36,1706.42494692,7866.26677539
37,1915.95320736,7173.56202565
38,2105.88720931,6509.71384037
39,2334.62186253,5903.72664693
40,2584.25439158,5332.66580546
41,2802.19591858,4726.04990696
42,1543.25786556,6824.74421542
43,1702.30595347,6068.6076882
44,1898.29467607,5342.36171038
45,2111.21484902,4619.26365448
46,2288.78225499,3929.99308782
47,2556.96704639,3230.09971719
48,1184.37251671,5160.66182755
49,1324.14969462,4345.6276675
50,1488.94133965,3525.60494152
51,1713.29192563,2764.95383398
52,1955.62621465,2033.18074898
53,2273.47198952,1353.22833228
54,691.271954415,2981.27271664
55,815.330722266,2058.57208242
56,1019.79084361,1187.83862025
57,1373.61449645,464.197686289
58,2055.51072654,49.1617469639
59,3118.66275562,0
60,0,0
