k,EPE,ENE
0,36587.8015453,0
1,39081.944019,11.6218855802
2,41496.7483649,62.0090126873
3,43557.1733838,144.913535955
4,45963.2406873,276.484871747
5,48240.5463717,371.095643183
6,33680.5644725,1827.7182409
7,35880.0828814,1851.90604914
8,37859.6056273,1906.63404061
9,40123.4658935,1776.6860524
10,41882.5114812,1742.10187365
11,43836.878702,1676.52135814
12,30246.9084622,4538.65901786
13,31652.2609561,4242.28724784
14,33583.1209348,3932.04470668
15,35292.9318557,3587.22029574
16,37052.5974214,3403.33930605
17,38518.5611488,3235.40388438
18,25851.3520317,7048.68357462
19,27165.8277157,6578.48699534
20,28565.819242,5920.86160568
21,30022.4342155,5473.73744657
22,31402.5296992,4897.08543602
23,33336.5642053,4495.99519721
24,21420.8044463,8995.91478179
25,22772.9478365,8116.45056
26,24161.258157,7406.10951269
27,25664.2413657,6531.57777697
28,27200.0538089,5757.86251337
29,28674.5292217,5070.34461139
30,17679.5334687,10121.0202145
31,18705.4723146,9034.22125229
32,19907.1557642,8002.13242566
33,21176.4831129,7096.23017891
34,22697.7224852,5937.68075344
35,24447.9426014,5064.55043141
36,14155.6632402,10446.3399664
37,15571.855008,9136.21541753
38,16928.4866803,7912.60246515
39,18292.3163169,6753.57435349
40,19731.882098,5712.44497993
41,21227.1983208,4715.25276249
42,11150.5282822,10316.6662323
43,12262.3214348,8667.65396777
44,13591.5258411,7214.77222875
45,14927.5117425,5727.11002463
46,16243.9665325,4428.10858148
47,17934.2347388,3198.04371537
48,7841.59045932,8623.92935614
49,8752.24663258,6659.42263957
50,9911.68506677,4853.39389003
51,11306.4843017,3282.11849132
52,12982.5503093,2024.80618964
53,14957.1728724,994.710417249
54,4089.32906828,5370.93662651
55,5005.49913967,3140.96536036
56,6430.70182798,1334.56490069
57,8603.37512216,268.809316627
58,11634.7597608,3.25328695793
59,14974.6781179,0
60,0,0
