k,CVA_leg,DVA_leg
0,0,0
1,0.447329409842,3.69678882
2,1.33978158383,3.51153283723
3,2.33003633881,3.44648269903
4,3.29263685455,3.31179029026
5,4.20009662917,3.1783513863
6,2.6343796222,4.82513363749
7,3.23984118134,4.56477448757
8,3.79648379568,4.34795575181
9,4.47747660865,4.08614882381
10,4.97433202438,3.88428016994
11,5.53104018231,3.66439402302
12,3.49314343562,5.13849412451
13,3.88814743521,4.91066630694
14,4.36205100442,4.61336098495
15,4.71497920388,4.31537415866
16,5.19522407646,4.09303097069
17,5.61305474444,3.90918112342
18,3.56793630711,5.30246880973
19,3.85831567889,5.03251515871
20,4.16575865051,4.72035745839
21,4.42576418084,4.42931133195
22,4.72693315127,4.15302718103
23,5.20902281444,3.8698671928
24,3.26179334168,5.20414880433
25,3.57029946399,4.87417699297
26,3.84637539344,4.56001919349
27,4.11642689331,4.19060944203
28,4.43585331573,3.85987353513
29,4.71647768071,3.55215170228
30,2.921920729,4.80812923369
31,3.06038344862,4.45505623388
32,3.28241912447,4.10734232793
33,3.54117029799,3.79218878693
34,3.86061974322,3.41929253873
35,4.21164188506,3.07120425856
36,2.45198706422,4.2001788994
37,2.73217317748,3.80524355954
38,2.98148285347,3.42910732305
39,3.28732932106,3.08978888948
40,3.62202222545,2.77817808579
41,3.90972910433,2.45090328106
42,2.13971814184,3.51704179374
43,2.3417524234,3.10481686606
44,2.5912461649,2.7154205989
45,2.8595174161,2.33667369384
46,3.07444888288,1.97775614544
47,3.41481564324,1.61520608639
48,1.57599919703,2.56358124261
49,1.75259956968,2.14562472178
50,1.9620885937,1.72661456686
51,2.24588465694,1.34407899816
52,2.55195481579,0.982292484914
53,2.95650603392,0.649458969548
54,0.89360273754,1.42336436702
55,1.04718974462,0.976658567533
56,1.30305242643,0.559297180864
57,1.7497315972,0.217125449985
58,2.61319973483,0.022863902851
59,3.95516382772,0
60,0,0
TOTAL,194.322341585,194.530756453
