k,EPE,ENE
0,0,18293.8922919
1,368.594132341,21130.0401118
2,826.788635784,23938.3262078
3,1265.86112502,26342.4074933
4,1572.19683159,28909.4725439
5,1696.84140717,31203.5217666
6,5202.45798693,20553.6489973
7,5065.56648044,22580.2738074
8,5060.96237103,24489.7052065
9,4748.43403965,26558.4027173
10,4587.61684575,28181.0207266
11,4323.84840837,29926.1438317
12,8879.34892686,19893.90496
13,8403.78254214,21111.3807791
14,7815.10246338,22753.199689
15,7212.56392704,24195.3656291
16,6842.84350396,25759.640311
17,6541.55623022,27083.6840957
18,11715.3504059,17642.5578086
19,11054.7632456,18758.7050929
20,10161.3477445,19914.0947127
21,9381.51184275,21029.6172349
22,8630.31547039,22226.5832701
23,7952.44786708,23874.1600087
24,13671.8415978,15044.234936
25,12563.2498247,16159.1193506
26,11609.7262399,17296.4361255
27,10415.197646,18470.8794573
28,9363.36372619,19720.1845596
29,8370.58664353,20881.3244219
30,14403.7543508,12735.3450552
31,13073.0561118,13510.7138767
32,11770.7536182,14435.2059706
33,10615.2374316,15448.0095721
34,9182.61562063,16687.2148579
35,8017.38661256,18137.4800254
36,14120.4286509,10433.4690049
37,12551.0456295,11583.8632048
38,11065.581666,12672.3445118
39,9661.31074337,13784.7006012
40,8383.79973757,14981.6797357
41,7115.68111768,16199.7908348
42,13259.9481036,8534.36978703
43,11378.2201909,9408.36343413
44,9678.17515678,10485.2771973
45,7919.20591781,11544.7582576
46,6374.98409079,12611.011892
47,4820.55801214,13971.5526903
48,10662.1906672,6164.34209185
49,8505.64411336,6879.38213582
50,6444.01142449,7779.54194044
51,4611.78203555,8909.69733415
52,3031.36464664,10258.9728587
53,1676.40605423,11904.9580149
54,6450.00047711,3305.59467606
55,4018.72062002,4018.50177941
56,1913.27175504,5142.64859659
57,495.682374977,6961.47638882
58,15.05627759,9775.7429064
59,0,13101.7815009
60,0,0
