k,PD_cpty,S_cpty
0,0,1
1,0.00446635652285,0.995533643477
2,0.0044666066612,0.991067036816
3,0.00445985230016,0.986607184516
4,0.00444912277205,0.982158061744
5,0.00443834040395,0.97771972134
6,0.00442502897236,0.973294692367
7,0.00440429486227,0.968890397505
8,0.00438466867957,0.964505728826
9,0.0043675442973,0.960138184528
10,0.00434593384174,0.955792250687
11,0.00432449559496,0.951467755092
12,0.00430717286846,0.947160582223
13,0.0042804668617,0.942880115361
14,0.00425136284677,0.938628752515
15,0.00423002910717,0.934398723407
16,0.00421591522826,0.930182808179
17,0.00420125145308,0.925981556726
18,0.0041796316634,0.921801925063
19,0.00415639854033,0.917645526522
20,0.00413086890509,0.913514657617
21,0.00410305051268,0.909411607105
22,0.00408005144793,0.905331555657
23,0.00406983309432,0.901261722562
24,0.00405154435145,0.897210178211
25,0.00402958277543,0.893180595435
26,0.00401111757501,0.88916947786
27,0.00398804727712,0.885181430583
28,0.0039665729819,0.881214857601
29,0.00394611633704,0.877268741264
30,0.00392468016809,0.873344061096
31,0.00390028632659,0.86944377477
32,0.00388548278828,0.865558291981
33,0.0038734859051,0.861684806076
34,0.00385281427653,0.8578319918
35,0.0038296952049,0.854002296595
36,0.00380605881026,0.850196237785
37,0.00378027675863,0.846415961026
38,0.0037562837671,0.842659677259
39,0.0037389871612,0.838920690098
40,0.00372489933678,0.835195790761
41,0.00371127851266,0.831484512248
42,0.00369126699815,0.82779324525
43,0.00366562571566,0.824127619534
44,0.00364068026406,0.82048693927
45,0.00361572947616,0.816871209794
46,0.00358923518249,0.813281974612
47,0.00357182465176,0.80971014996
48,0.0035622953453,0.806147854615
49,0.00354672470555,0.802601129909
50,0.00353466158566,0.799066468324
51,0.00351959881023,0.795546869513
52,0.0035071938313,0.792039675682
53,0.00349866704096,0.788541008641
54,0.00348140894946,0.785059599692
55,0.0034625996631,0.781597000028
56,0.00344840172902,0.778148598299
57,0.00344139960864,0.774707198691
58,0.00343833278852,0.771268865902
59,0.0034337022398,0.767835163663
60,0.00342041593983,0.764414747723
