k,PD_cpty,S_cpty
0,0,1
1,0.00340133027093,0.996598669729
2,0.00339514647121,0.993203523258
3,0.0033849990923,0.989818524166
4,0.00337419687422,0.986444327291
5,0.00336504922465,0.983079278067
6,0.00335892768073,0.979720350386
7,0.00334993878134,0.976370411605
8,0.00334154525674,0.973028866348
9,0.00333024249981,0.969698623848
10,0.00331830285151,0.966380320997
11,0.00331079868792,0.963069522309
12,0.00330325666309,0.959766265646
13,0.0032888568828,0.956477408763
14,0.0032756541038,0.953201754659
15,0.00326724920501,0.949934505454
16,0.00325511397527,0.946679391479
17,0.00323824276821,0.94344114871
18,0.00322064267207,0.940220506038
19,0.0032060668,0.937014439238
20,0.00319680645019,0.933817632788
21,0.0031902129612,0.930627419827
22,0.00318106984484,0.927446349982
23,0.00316689921215,0.92427945077
24,0.00315128173408,0.921128169036
25,0.00313740349942,0.917990765537
26,0.00312533145494,0.914865434082
27,0.00311331840965,0.911752115672
28,0.00310331173981,0.908648803932
29,0.0030957767535,0.905553027179
30,0.00308491615951,0.902468111019
31,0.00307219614452,0.899395914875
32,0.00305621023431,0.89633970464
33,0.0030438634678,0.893295841172
34,0.00303300917379,0.890262831999
35,0.0030248962849,0.887237935714
36,0.00301354466842,0.884224391045
37,0.00300083217221,0.881223558873
38,0.00299034479917,0.878233214074
39,0.00297978101075,0.875253433063
40,0.00297176381603,0.872281669247
41,0.00296091782172,0.869320751425
42,0.00295222706174,0.866368524364
43,0.00294050655154,0.863428017812
44,0.00292733830517,0.860500679507
45,0.00291771008643,0.857582969421
46,0.00291061204148,0.854672357379
47,0.00290336442138,0.851768992958
48,0.00289693897443,0.848872053983
49,0.00288787790432,0.845984176079
50,0.00287362814878,0.84311054793
51,0.00286065189879,0.840249896031
52,0.00285156287008,0.837398333161
53,0.00284424903594,0.834554084125
54,0.00283338302001,0.831720701105
55,0.00282251723639,0.828898183869
56,0.00281007903568,0.826088104833
57,0.00279472254006,0.823293382293
58,0.00278171223168,0.820511670062
59,0.00277015379597,0.817741516266
60,0.00276316956149,0.814978346704
