k,EPE,ENE
0,0,6097.97540494
1,258.790665421,5547.98202658
2,776.294493877,5288.45297243
3,1351.35024554,5215.66068832
4,1915.10604576,5036.03575319
5,2451.58306034,4860.67925231
6,1543.35857878,7427.42073097
7,1909.11607502,7082.53144501
8,2248.69718877,6789.76706517
9,2665.13844783,6420.01314001
10,2976.83531453,6146.00686362
11,3331.00792891,5833.69250842
12,2111.45489418,8237.27521047
13,2367.57790281,7935.0119897
14,2675.18721857,7506.04503134
15,2908.87548339,7064.10834473
16,3217.09029566,6734.11907668
17,3491.3710133,6472.96967931
18,2231.64578324,8840.01302233
19,2425.65908584,8450.03463724
20,2643.05292892,7986.29887505
21,2825.96311044,7545.20495422
22,3037.67502425,7111.42253976
23,3356.09892986,6662.0059341
24,2111.65229629,9022.23468432
25,2328.03461267,8503.13416688
26,2520.34954747,8003.82598202
27,2712.88160008,7414.82708994
28,2945.28887584,6882.76958474
29,3145.88095323,6372.74392479
30,1963.59300628,8671.43160884
31,2070.80785435,8080.04621641
32,2231.47340564,7504.02465005
33,2417.06335256,6969.88303701
34,2649.10957011,6318.44124095
35,2909.34995454,5712.60805451
36,1707.99939525,7868.38505732
37,1915.54193664,7173.4083709
38,2104.71179627,6509.51853639
39,2332.24301804,5904.74561031
40,2583.58666821,5333.17443255
41,2804.90285708,4725.82799884
42,1541.97762434,6825.13915232
43,1704.14286457,6068.00555512
44,1897.73462915,5342.56759187
45,2110.79576371,4618.72563629
46,2289.48214511,3930.31961204
47,2555.60016733,3229.76569244
48,1185.31058166,5161.15575004
49,1323.62178705,4345.19097463
50,1488.71257673,3524.94382037
51,1713.09703253,2765.05114035
52,1955.97231882,2032.60795343
53,2273.28274362,1353.24206452
54,690.843246685,2981.1819758
55,816.027224464,2058.70482192
56,1020.15715923,1187.82431094
57,1373.71838173,464.197686289
58,2055.64018828,49.1617469639
59,3118.55748253,0
60,0,0
