k,PD_cpty,S_cpty
0,0,1
1,0.00400688770272,0.995993112297
2,0.00400510231503,0.991988009982
3,0.00400042215598,0.987987587826
4,0.00399681863105,0.983990769195
5,0.00398423148046,0.980006537715
6,0.00396400921691,0.976042528498
7,0.00394892888081,0.972093599617
8,0.00393450211519,0.968159097502
9,0.00390960280279,0.964249494699
10,0.0038829580896,0.960366536609
11,0.00386135102043,0.956505185589
12,0.00383881592601,0.952666369663
13,0.00382239630642,0.948843973357
14,0.00380962575102,0.945034347606
15,0.00379502106025,0.941239326545
16,0.00378065409272,0.937458672453
17,0.00376563743089,0.933693035022
18,0.00375106555838,0.929941969463
19,0.00373188106612,0.926210088397
20,0.00371219177014,0.922497896627
21,0.00369454608509,0.918803350542
22,0.00367815149196,0.91512519905
23,0.00366925034662,0.911455948703
24,0.00365905846191,0.907796890241
25,0.00364328800694,0.904153602235
26,0.00362561215505,0.900527990079
27,0.00360527970162,0.896922710378
28,0.00359159476533,0.893331115613
29,0.00358093924624,0.889750176366
30,0.00356487833294,0.886185298033
31,0.0035421898769,0.882643108156
32,0.00352143763566,0.879121670521
33,0.00350945584014,0.875612214681
34,0.003495738979,0.872116475702
35,0.00347872329185,0.86863775241
36,0.00346886811985,0.86516888429
37,0.00345649493078,0.861712389359
38,0.00343691644119,0.858275472918
39,0.00342276506221,0.854852707856
40,0.00340976477447,0.851442943081
41,0.00339237868208,0.848050564399
42,0.00337629086959,0.84467427353
43,0.00336272377792,0.841311549752
44,0.003347537337,0.837964012415
45,0.00333428655674,0.834629725858
46,0.00332483295164,0.831304892906
47,0.00331521117113,0.827989681735
48,0.00330226773571,0.824687414
49,0.00328664091861,0.821400773081
50,0.00327122110802,0.818129551973
51,0.00325830996074,0.814871242012
52,0.00324566424399,0.811625577768
53,0.00323336012299,0.808392217645
54,0.00322137295207,0.805170844693
55,0.00321176639049,0.801959078303
56,0.00320342438358,0.798755653919
57,0.00318879476873,0.79556685915
58,0.00317477876262,0.792392080388
59,0.00316239848667,0.789229681901
60,0.00314690018089,0.78608278172
