k,EPE,ENE
0,36587.8015453,0
1,39070.5188625,11.6218855802
2,41495.1167883,62.0090126873
3,43559.1489462,144.913535955
4,45962.1215805,276.484871747
5,48232.0094241,371.095643183
6,33680.6632895,1827.88484083
7,35876.154552,1856.09146443
8,37854.5157859,1905.08154629
9,40121.8926476,1776.09478898
10,41881.7973598,1748.3753775
11,43845.6483809,1679.4512582
12,30243.9819774,4540.41379258
13,31650.6539045,4245.88562044
14,33577.7569127,3931.4432453
15,35291.437485,3588.43431195
16,37051.7079929,3405.44034083
17,38513.6482421,3235.40388438
18,25847.6439628,7046.37570941
19,27157.3026591,6580.32820315
20,28570.8679891,5923.95645801
21,30019.0282369,5475.02088032
22,31403.379505,4897.08543602
23,33334.8305198,4495.99519721
24,21415.6936376,8989.94470617
25,22774.5891508,8118.00395226
26,24160.7942951,7405.90925792
27,25656.8953013,6531.84257769
28,27204.7850561,5761.10523701
29,28667.2531938,5067.53209697
30,17681.787054,10124.5437719
31,18707.1516027,9034.07505843
32,19910.4961185,8006.44308835
33,21179.8259277,7095.81992696
34,22694.3291993,5936.00668824
35,24444.8338195,5064.73016431
36,14157.9659515,10450.2829958
37,15569.2091047,9134.34634058
38,16922.8211752,7909.8919491
39,18284.4229238,6755.92349868
40,19728.7434838,5712.85165974
41,21236.0231804,4715.25276249
42,11145.9399938,10317.1240663
43,12268.0298655,8666.01626989
44,13590.9319731,7216.48490526
45,14927.8698467,5727.11002463
46,16245.0904781,4428.10858148
47,17931.1262378,3198.04371537
48,7843.48940492,8624.49196467
49,8751.37415283,6658.82457637
50,9912.99860408,4853.40681407
51,11305.6054402,3282.11849132
52,12985.3136412,2024.80618964
53,14956.562612,994.710417249
54,4088.98900274,5371.61235465
55,5007.07065541,3140.84243027
56,6431.84583473,1334.56490069
57,8603.68735988,268.809316627
58,11635.1488712,3.25328695793
59,14974.3617089,0
60,0,0
