k,CVA_leg,DVA_leg
0,0,0
1,0.0201229001482,26.0499167596
2,0.107086154053,27.5858240669
3,0.249317120946,28.8373809431
4,0.473805094064,30.3161439061
5,0.633747557425,31.6868844818
6,3.11369741283,21.9974628577
7,3.15106234363,23.2829763987
8,3.22389284668,24.4317966319
9,2.99340117679,25.7663058205
10,2.93413743013,26.7419659094
11,2.81021557617,27.8477177793
12,7.57511365607,19.0987524453
13,7.04820012498,19.8533748177
14,6.4957546792,20.9381586711
15,5.90992466587,21.8973921268
16,5.58404972274,22.8961957771
17,5.27426996885,23.6796717649
18,11.4168560588,15.7960858767
19,10.606466513,16.4978097163
20,9.51457763997,17.2485910226
21,8.7695118043,18.0171469207
22,7.8160459105,18.7676490476
23,7.13904054626,19.8345883934
24,14.1946466275,12.6656953495
25,12.7525572457,13.4033583477
26,11.580996665,14.1457183355
27,10.1676554159,14.9192773661
28,8.93262215762,15.7170548684
29,7.83241995083,16.4726463982
30,15.5821162298,10.1211714543
31,13.8360970267,10.6583340615
32,12.1891265649,11.2753307803
33,10.7508193673,11.9336759713
34,8.95449647475,12.7315626498
35,7.61367263665,13.6382635277
36,15.638043254,7.85343752565
37,13.6000388081,8.58914050359
38,11.7260534902,9.28110349397
39,9.97155754122,9.9731445085
40,8.40213745256,10.7231290038
41,6.90362500417,11.5019837069
42,15.0477738918,6.00525773269
43,12.5781894055,6.56902053588
44,10.4179522683,7.23725538041
45,8.23309799615,7.91925692629
46,6.34431449304,8.58229293391
47,4.56624473539,9.42243754729
48,12.2752925992,4.0987534457
49,9.43877806346,4.55011433469
50,6.83898555892,5.11737361483
51,4.59942375838,5.79882573842
52,2.82562815758,6.62617323886
53,1.38315888485,7.58951764294
54,7.43312950809,2.06621807008
55,4.32507138436,2.51669144453
56,1.82773150288,3.21170321321
57,0.365742741107,4.27229689848
58,0.00440109515606,5.75055233255
59,0,7.35641503125
60,0,0
TOTAL,421.99389486,849.36397605
