k,PD_cpty,S_cpty
0,0,1
1,0.00446625585822,0.995533744142
2,0.00446645040107,0.991067293741
3,0.00445978464417,0.986607509097
4,0.00444910407937,0.982158405017
5,0.00443845607388,0.977719948943
6,0.00442527192859,0.973294677015
7,0.00440428183929,0.968890395175
8,0.00438444521254,0.964505949963
9,0.00436751761465,0.960138432348
10,0.00434619507102,0.955792237277
11,0.00432480520941,0.951467432068
12,0.00430718051742,0.94716025155
13,0.00428031844803,0.942879933102
14,0.00425120926085,0.938628723841
15,0.00422988959107,0.93439883425
16,0.00421580974592,0.930183024504
17,0.00420108043217,0.925981944072
18,0.00417985660666,0.921802087466
19,0.00415683013147,0.917645257334
20,0.00413105987653,0.913514197458
21,0.00410321725165,0.909410980206
22,0.00408003119676,0.905330949009
23,0.0040697502852,0.901261198724
24,0.00405147749512,0.897209721229
25,0.00402954462489,0.893180176604
26,0.00401105331317,0.889169123291
27,0.00398796212275,0.885181161168
28,0.00396665214356,0.881214509025
29,0.00394603262593,0.877268476399
30,0.00392446873176,0.873344007667
31,0.00390036451996,0.869443643147
32,0.00388554294361,0.865558100203
33,0.00387324618943,0.861684854014
34,0.00385277295727,0.857832081057
35,0.00382963819643,0.85400244286
36,0.00380600220927,0.850196440651
37,0.00378044652125,0.84641599413
38,0.00375634597905,0.842659648151
39,0.00373912466735,0.838920523483
40,0.00372508407935,0.835195439404
41,0.00371114638868,0.831484293015
42,0.0036910862158,0.827793206799
43,0.00366554865978,0.82412765814
44,0.00364063082849,0.820487027311
45,0.00361596863039,0.816871058681
46,0.00358951237052,0.81328154631
47,0.00357187676761,0.809709669543
48,0.00356254425749,0.806147125285
49,0.00354695115524,0.80260017413
50,0.00353447795959,0.79906569617
51,0.0035194161123,0.795546280058
52,0.00350705766291,0.792039222395
53,0.00349872310515,0.78854049929
54,0.00348164205158,0.785058857238
55,0.00346263821735,0.781596219021
56,0.00344854471164,0.778147674309
57,0.00344155370411,0.774706120605
58,0.00343822543575,0.77126789517
59,0.00343344392006,0.767834451249
60,0.00342022838574,0.764414222864
