k,CVA_leg,DVA_leg
0,0,0
1,57.7481334047,0.00774878759656
2,61.2557730204,0.0411983496705
3,64.1780077818,0.0958194234929
4,67.6065650215,0.18202924898
5,70.6700450864,0.243191552446
6,49.0635130401,1.19009387371
7,52.0262326697,1.20004794454
8,54.6567228132,1.22417851587
9,57.5245730144,1.13490077329
10,59.5983440044,1.11008271919
11,62.004279742,1.06003317607
12,42.4916980346,2.84767978845
13,44.2486259864,2.64359729418
14,46.7552078121,2.43197386285
15,48.9209239359,2.20744965843
16,51.1330155642,2.08513786424
17,52.9046736143,1.96987527572
18,35.3451828718,4.26170735388
19,36.9216803967,3.95378766892
20,38.6128253455,3.53512904521
21,40.3500528905,3.24622400446
22,41.9951024304,2.88946802426
23,44.4397689167,2.63962660861
24,28.4510471348,5.24307776178
25,30.1049652814,4.70848252801
26,31.7599966377,4.27067073964
27,33.5135986552,3.7386894488
28,35.3750293432,3.27423555153
29,37.1389213327,2.86279469522
30,22.7874069671,5.69422055023
31,23.9373955667,5.05426527923
32,25.3086075671,4.44960085131
33,26.8097280162,3.92130652378
34,28.5920859373,3.26418858656
35,30.6232162913,2.76811768432
36,17.6718414626,5.67525760031
37,19.3481689247,4.9305915953
38,20.8938378696,4.2420290587
39,22.4630490496,3.60124294947
40,24.1247498514,3.03272143473
41,25.8130787112,2.49289128791
42,13.4721475449,5.42269657562
43,14.755669756,4.52409687816
44,16.2582889259,3.7443900329
45,17.7706294643,2.95866823972
46,19.2659537375,2.27675952177
47,21.1840226374,1.63455965178
48,9.22140313602,4.381058989
49,10.2302044082,3.36349481017
50,11.5224755592,2.43266128541
51,13.0763580689,1.63357111915
52,14.9458652507,1.00201523757
53,17.1320796571,0.489218284761
54,4.66160131661,2.62925382228
55,5.68531622094,1.52828000755
56,7.27646920592,0.644748734756
57,9.67877333299,0.129065063287
58,13.0175131722,0.00155375323805
59,16.6700157539,0
60,0,0
TOTAL,1900.99245915,154.221456948
