k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,-0.00536683693214,3.12429203842e-07,0,-0.00536652450294,-8.67361737988e-19
2,0,-0.0120072990906,-2.42126731538e-07,1.68754891149e-07,-0.0120073724624,3.46944695195e-18
3,0,0.212967247564,0.000217347885918,3.07784144359e-06,0.213187673291,-2.77555756156e-17
4,0,0.254474710673,0.000267542276773,7.7915948768e-06,0.254750044545,0
5,0,0.262201319726,-0.000102724798486,1.26855194856e-05,0.262111280447,1.66533453694e-16
6,0,-0.674202680668,0.000188028861383,3.1769987839e-05,-0.673982881819,-1.11022302463e-16
7,0,-0.675504323795,0.0015113039658,3.21540990889e-05,-0.67396086573,-3.33066907388e-16
8,0,-0.679043308789,0.00283707368493,4.11039738741e-05,-0.67616513113,1.11022302463e-16
9,0,0.695866368314,0.00435783874713,9.13371304128e-05,0.700315544192,-1.11022302463e-16
10,0,0.668762016168,0.00478069583829,9.71128535903e-05,0.673639824859,-1.11022302463e-16
11,0,0.58501125664,0.00684205142213,7.89967464038e-05,0.591932304808,-1.11022302463e-16
12,0,-1.35802316386,0.0117644308455,0.0001004159841,-1.34615831703,0
13,0,-1.29266701814,0.00932744705972,6.39326923058e-05,-1.28327563839,4.4408920985e-16
14,0,-1.14045732372,0.0080356793255,3.38268220061e-05,-1.13238781757,0
15,0,0.911203603281,0.00940647576234,-3.07422265696e-06,0.920607004821,1.11022302463e-16
16,0,0.743795696332,0.0045792292001,-7.18366510937e-05,0.748303088881,1.11022302463e-16
17,0,0.591676342103,0.00482097374928,-0.000133556384677,0.596363759468,-2.22044604925e-16
18,0,-1.88853892954,0.00932079658785,-0.000290846499549,-1.87950897945,2.22044604925e-16
19,0,-1.8490677438,0.00695849946546,-0.000327909105896,-1.84243715344,2.22044604925e-16
20,0,-1.61126571971,0.0104826601371,-0.000333549279754,-1.60111660886,-2.22044604925e-16
21,0,1.07895168474,0.0217721540546,-0.000491566296314,1.1002322725,0
22,0,0.994725213225,0.0178684647159,-0.000436409281857,1.01215726866,4.4408920985e-16
23,0,0.878886486172,0.0154287152235,-0.000372920985951,0.893942280409,1.11022302463e-16
24,0,-2.08052875356,0.0237226340051,-0.000460069642424,-2.0572661892,4.4408920985e-16
25,0,-1.91871486607,0.0189943875006,-0.000360226880394,-1.90008070545,-8.881784197e-16
26,0,-1.85817565362,0.0141373282543,-0.000285402040512,-1.8443237274,0
27,0,1.28642211968,0.0189786678254,-0.000351793293129,1.30504899422,-2.22044604925e-16
28,0,1.15358644007,0.0226228799363,-0.000313648431124,1.17589567157,2.22044604925e-16
29,0,0.995937378452,0.0202345983615,-0.000263882711373,1.0159080941,2.22044604925e-16
30,0,-2.37636672142,0.015574433414,-0.000329542200608,-2.3611218302,-4.4408920985e-16
31,0,-2.21017627399,0.00281480305527,-0.000289392770262,-2.20765086371,4.4408920985e-16
32,0,-2.04750100678,-0.00339234187037,-0.000281578952493,-2.0511749276,0
33,0,1.3543015654,-0.0144695228653,-0.000434117708584,1.33939792482,-2.22044604925e-16
34,0,1.33294999736,-0.0219825301327,-0.000390584439844,1.31057688279,4.4408920985e-16
35,0,1.2042876646,-0.0144982141898,-0.000333470091731,1.18945598032,0
36,0,-2.34624622789,-0.00764493420992,-0.000429887236311,-2.35432104934,0
37,0,-2.23965653464,-0.00164984984866,-0.000329116746595,-2.24163550124,4.4408920985e-16
38,0,-2.10766810802,0.00172611345885,-0.000250060073933,-2.10619205463,-1.33226762955e-15
39,0,1.36413647793,-0.00115453948939,-0.000357964748189,1.36262397369,-4.4408920985e-16
40,0,1.16157731627,-0.0103027838725,-0.000345071562427,1.15092946083,2.22044604925e-16
41,0,0.886850990913,-0.0121596242514,-0.000328234748342,0.874363131914,-3.33066907388e-16
42,0,-2.74308190082,-0.0172541328491,-0.000567901939506,-2.76090393561,0
43,0,-2.46963395164,-0.0137780740851,-0.000582539061676,-2.48399456479,0
44,0,-2.23625947891,-0.0109392602352,-0.000556561911305,-2.24775530105,-4.4408920985e-16
45,0,1.19019076061,-0.0208209061013,-0.000866400126548,1.16850345438,0
46,0,0.911957606845,-0.0176707825195,-0.000729321765765,0.89355750256,1.11022302463e-16
47,0,0.704939122561,-0.0127285155758,-0.000553174957315,0.691657432028,-2.22044604925e-16
48,0,-2.78004558784,-0.0211396481202,-0.000840087107337,-2.80202532307,-8.881784197e-16
49,0,-2.37425617477,-0.0191312021478,-0.000614873155898,-2.39400225008,8.881784197e-16
50,0,-1.94129798623,-0.00995864605911,-0.000425984335529,-1.95168261663,4.4408920985e-16
51,0,0.91659270425,-0.00983267377376,-0.000642013017061,0.906118017459,-1.11022302463e-16
52,0,0.487721106629,-0.00590171556976,-0.000410333641775,0.481409057417,5.55111512313e-17
53,0,0.137166606406,-0.00205778620481,-0.000196820619189,0.134911999582,2.77555756156e-17
54,0,-2.5050022715,-0.00488702101637,-0.000513258245034,-2.51040255076,-8.881784197e-16
55,0,-1.52427065922,-0.00249518677964,-0.000299484166747,-1.52706533017,-2.22044604925e-16
56,0,-0.643694754192,-0.00092566237702,-0.000128318186644,-0.644748734756,-4.4408920985e-16
57,0,-0.128828431388,-0.000211376188156,-2.5255709931e-05,-0.129065063287,2.77555756156e-17
58,0,-0.00154995897237,-3.49415634224e-06,-3.00109341158e-07,-0.00155375323805,-4.33680868994e-19
59,0,0,0,0,0,0
60,0,0,0,0,0,0
TOTAL,0,-26.7519598466,0.0324801756355,-0.0159539670423,-26.735433638,-2.41256667421e-15
