k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,0.36635303824,0.00161801609662,0,0.367971054337,0
2,0,0.478643150819,-0.000191426869337,0.000112401050072,0.478564125,5.55111512313e-17
3,0,-5.03987980055,0.0282840952104,0.000303801427851,-5.01129190391,0
4,0,-4.9161235382,0.0241048876597,0.000561472201262,-4.89145717834,-8.881784197e-16
5,0,-4.71580556018,-0.00804891074407,0.000888080873459,-4.72296639005,-8.881784197e-16
6,0,6.34984062751,0.00554851603636,0.00106214752317,6.35645129107,-1.7763568394e-15
7,0,6.36603217898,0.0463649365622,0.00141907363776,6.41381618918,1.7763568394e-15
8,0,6.53686355502,0.0887627317599,0.00176954775379,6.62739583453,-8.881784197e-16
9,0,-4.0487759456,0.0698081291136,0.00195813097855,-3.97700968551,-1.7763568394e-15
10,0,-3.93442250283,0.0820405535687,0.00259471132028,-3.84978723795,4.4408920985e-16
11,0,-3.97416045157,0.130922618757,0.00321620426825,-3.84002162855,0
12,0,5.73007953508,0.119009543695,0.00324788896721,5.85233696774,0
13,0,6.06260265896,0.106767155595,0.00404562506934,6.17341543963,8.881784197e-16
14,0,5.99853213999,0.103231515034,0.00488593512105,6.10664959015,-8.881784197e-16
15,0,-3.53355267802,0.0711467195644,0.00455912251966,-3.45784683593,8.881784197e-16
16,0,-3.69481121842,0.0392435169145,0.00526789880885,-3.6502998027,-4.4408920985e-16
17,0,-3.59312407158,0.0465812993059,0.00601948324636,-3.54052328903,1.33226762955e-15
18,0,5.05964604499,0.0514681595362,0.00536813390408,5.11648233843,0
19,0,5.13967096196,0.0437870582351,0.00576121166557,5.18921923186,1.7763568394e-15
20,0,5.09592321392,0.0759832132185,0.00599110597087,5.17789753311,-8.881784197e-16
21,0,-3.25607913454,0.0943423998606,0.00494491449316,-3.15679182018,4.4408920985e-16
22,0,-3.37935192702,0.09017940231,0.00526113013221,-3.28391139458,-1.33226762955e-15
23,0,-3.75446547612,0.0900572400706,0.00572117120568,-3.65868706484,-1.33226762955e-15
24,0,4.07489180162,0.0829189172677,0.00483259740157,4.16264331629,1.7763568394e-15
25,0,4.16132880692,0.0783866750843,0.0052343577403,4.24494983974,1.7763568394e-15
26,0,4.28413224418,0.0688640274029,0.00564909605379,4.35864536763,1.7763568394e-15
27,0,-3.24928228141,0.057627731709,0.00474615051232,-3.18690839918,4.4408920985e-16
28,0,-3.42312626702,0.0823601897197,0.00513801266308,-3.33562806464,-4.4408920985e-16
29,0,-3.52544749934,0.0886585470139,0.00558510315245,-3.43120384918,-4.4408920985e-16
30,0,3.59286632766,0.0411710741321,0.00473320238283,3.63877060417,-4.4408920985e-16
31,0,3.79542109399,0.00895008199677,0.00518246902144,3.80955364501,-4.4408920985e-16
32,0,3.90831592817,-0.0131061461167,0.00562150162209,3.90083128367,0
33,0,-2.89956277644,-0.0329829974632,0.0045139645655,-2.92803180934,8.881784197e-16
34,0,-3.08050850098,-0.0625520125366,0.00486420282741,-3.13819631069,0
35,0,-3.48166635293,-0.051159320063,0.00527105252804,-3.52755462047,4.4408920985e-16
36,0,2.91148304728,-0.0158173488945,0.00424419168106,2.89990989007,4.4408920985e-16
37,0,2.96327399634,-0.00436164783962,0.00469143841841,2.96360378692,0
38,0,3.02671264031,0.00584498490986,0.00507747305023,3.03763509827,-1.33226762955e-15
39,0,-3.44172406916,-0.0022249191544,0.00388004663183,-3.44006894169,4.4408920985e-16
40,0,-3.62340854558,-0.0254027172074,0.00414389378236,-3.644667369,-4.4408920985e-16
41,0,-3.79994748412,-0.0397466184518,0.0044130089835,-3.83528109359,8.881784197e-16
42,0,2.33217912343,-0.0305848166927,0.00327407890056,2.30486838564,0
43,0,2.4787472409,-0.0327547677449,0.00359212315561,2.44958459631,8.881784197e-16
44,0,2.68061104983,-0.0357841873934,0.00394776565637,2.6487746281,1.33226762955e-15
45,0,-3.60391162091,-0.0358052932015,0.00278111414844,-3.63693579996,-1.33226762955e-15
46,0,-3.78436803751,-0.0432141954729,0.00302540337012,-3.82455682962,-4.4408920985e-16
47,0,-4.05026823455,-0.0473356835756,0.00337573383993,-4.09422818429,-8.881784197e-16
48,0,1.9852389506,-0.0360826136454,0.00237185149536,1.95152818845,-2.22044604925e-16
49,0,2.42547749673,-0.0508482365766,0.00276068866937,2.37738994883,0
50,0,2.86482699681,-0.0447687210603,0.00324521718248,2.82330349293,0
51,0,-3.55944433539,-0.0188707637026,0.00203523884453,-3.57627986025,4.4408920985e-16
52,0,-3.91689979507,-0.0220891655863,0.00239003902011,-3.93659892163,1.33226762955e-15
53,0,-4.15795109942,-0.0203201140432,0.00288012577726,-4.17539108768,-8.881784197e-16
54,0,2.45963453642,-0.0117325433069,0.00178525120859,2.44968724432,-4.4408920985e-16
55,0,3.45361623627,-0.0138593194864,0.00236807734828,3.44212499413,8.881784197e-16
56,0,4.33152256375,-0.0154550192287,0.00306985349745,4.31913739801,8.881784197e-16
57,0,-4.26653506796,-0.00699921687284,0.00123738634827,-4.27229689848,-8.881784197e-16
58,0,-5.73928362022,-0.0129362957163,0.00166758338175,-5.75055233255,8.881784197e-16
59,0,-7.34047842168,-0.0180765477866,0.00213993821573,-7.35641503125,8.881784197e-16
60,0,0,0,0,0,0
TOTAL,0,-7.86989912766,1.17092237091,0.210728425217,-6.48824833154,4.27435864481e-15
