k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,-0.0139285122399,-1.55697243565e-05,-0.0139440819642,1.73472347598e-18
2,0,-0.0311762323127,-0.000200276533092,-0.0313765088458,0
3,0,0.553133966104,-0.00131855647103,0.551815409633,0
4,0,0.661104521268,-0.00236941055865,0.65873511071,0
5,0,0.682190278298,-0.00336341176776,0.67882686653,0
6,0,-1.760829092,-0.00731715344934,-1.76814624545,0
7,0,-1.76955064474,-0.00662037583027,-1.77617102057,2.22044604925e-16
8,0,-1.78060107547,-0.0124498868613,-1.79305096233,0
9,0,1.82681041549,-0.0249534611861,1.80185695431,0
10,0,1.75975602519,-0.0212598150917,1.7384962101,0
11,0,1.54175639108,-0.0240269570767,1.517729434,2.22044604925e-16
12,0,-3.58777197745,-0.0476285584513,-3.6354005359,0
13,0,-3.42500595789,-0.0413739901374,-3.46637994803,0
14,0,-3.02998640932,-0.0313333092319,-3.06131971855,4.4408920985e-16
15,0,2.42702120442,-0.0480603875831,2.37896081684,0
16,0,1.98316620151,-0.0456950453257,1.93747115618,2.22044604925e-16
17,0,1.57866962347,-0.0297816004649,1.54888802301,0
18,0,-5.046304517,-0.0214795798971,-5.06778409689,0
19,0,-4.95545485523,0.00180510816,-4.95364974707,0
20,0,-4.33006375687,0.00504898398058,-4.32501477289,0
21,0,2.90428322453,-0.0160225375678,2.88826068697,0
22,0,2.68012088952,-0.0253395991055,2.65478129041,-4.4408920985e-16
23,0,2.36808550939,-0.0219080441632,2.34617746523,0
24,0,-5.6102817079,-0.0276622291508,-5.63794393705,0
25,0,-5.17794607037,-0.0230060934,-5.20095216377,0
26,0,-5.02201532271,-0.0233614332806,-5.04537675599,0
27,0,3.48685122178,-0.0290104806942,3.45784074108,4.4408920985e-16
28,0,3.13278214642,-0.0353846653919,3.09739748102,4.4408920985e-16
29,0,2.71006113823,-0.0452176666156,2.66484347162,0
30,0,-6.47792734679,-0.0531069423823,-6.53103428917,-8.881784197e-16
31,0,-6.03862689876,-0.0350963426672,-6.07372324143,-8.881784197e-16
32,0,-5.60800301854,-0.0129758131407,-5.62097883168,-8.881784197e-16
33,0,3.71729014017,-0.0118380858633,3.7054520543,4.4408920985e-16
34,0,3.66348247941,-0.020998100535,3.64248437887,0
35,0,3.31447579188,-0.0290754048343,3.28540038704,-4.4408920985e-16
36,0,-6.46312351527,-0.0295515992759,-6.49267511454,0
37,0,-6.17676012912,-0.00844904478482,-6.1852091739,0
38,0,-5.82619797798,0.00427442441819,-5.82192355356,0
39,0,3.78123098533,0.0212085445415,3.80243952987,-4.4408920985e-16
40,0,3.22604904016,0.019625470896,3.24567451106,-4.4408920985e-16
41,0,2.46293852445,0.011422919251,2.4743614437,0
42,0,-7.62659146746,-0.00632718258684,-7.63291865005,8.881784197e-16
43,0,-6.88264867043,0.00365666130204,-6.87899200913,0
44,0,-6.24151672959,0.013930832755,-6.22758589684,0
45,0,3.32394400028,0.0110967573243,3.3350407576,-4.4408920985e-16
46,0,2.54883721591,-0.00575252883531,2.54308468707,0
47,0,1.97365874251,-0.012555121345,1.96110362117,0
48,0,-7.80446289753,-0.0293760398382,-7.83383893737,0
49,0,-6.67905079203,-0.0257143364889,-6.70476512852,0
50,0,-5.46968169782,-0.0111157503532,-5.48079744817,0
51,0,2.58570769519,-0.00679804169076,2.5789096535,0
52,0,1.37711136945,-0.00880526544749,1.368306104,0
53,0,0.387635481798,-0.00778321901682,0.379852262781,-5.55111512313e-17
54,0,-7.08068666603,-0.0165516137898,-7.09723827982,8.881784197e-16
55,0,-4.31472910073,-0.00690311362068,-4.32163221435,0
56,0,-1.82600956428,-0.00172193859683,-1.82773150288,2.22044604925e-16
57,0,-0.365797580405,5.48392981294e-05,-0.365742741107,0
58,0,-0.00440114100478,4.58487199864e-08,-0.00440109515606,0
59,0,0,0,0,0
60,0,0,0,0,0
TOTAL,0,-73.768977102,-0.864530992329,-74.6335080944,-4.97865637605e-16
