k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,-0.64243758238,0.000208341046319,0,-0.642229241333,3.33066907388e-16
2,0,-0.543633756987,-2.22911025968e-05,-1.60543022906e-05,-0.543672102392,0
3,0,0.376015972669,0.00390465367926,-6.31978971036e-05,0.379857428451,-5.55111512313e-17
4,0,0.323913189103,0.00300476072373,-0.000100914371899,0.326817035455,5.55111512313e-17
5,0,0.277374718509,-0.000910595322382,-0.000119635576466,0.27634448761,-5.55111512313e-17
6,0,-1.54089143144,0.000893599447108,-0.0001692376807,-1.54016706968,-4.4408920985e-16
7,0,-1.50029194209,0.00668691876434,-0.000151620158254,-1.49375664349,2.22044604925e-16
8,0,-1.4290870273,0.0116503969935,-0.000116689097197,-1.4175533194,2.22044604925e-16
9,0,0.237825256448,0.0123632879879,-0.000137126755534,0.25005141768,0
10,0,0.238775775077,0.0132590229707,-0.000125514501637,0.251909283546,0
11,0,0.206059877753,0.0190673999056,-9.41642130629e-05,0.225033113446,2.77555756156e-17
12,0,-1.48185390703,0.02384860088,-7.44367001374e-05,-1.45807974285,4.4408920985e-16
13,0,-1.48887241778,0.0194560701755,3.00521662295e-05,-1.46938629544,-6.66133814775e-16
14,0,-1.41162741479,0.0168641757045,0.00011634914577,-1.39464688994,2.22044604925e-16
15,0,0.216586285281,0.0156321918403,0.000172202575071,0.232390679696,-2.77555756156e-17
16,0,0.168810918482,0.00778733870899,0.000208266920632,0.176806524112,-2.77555756156e-17
17,0,0.0805089197675,0.00840795724329,0.000286238995265,0.0892031160061,-1.38777878078e-17
18,0,-1.53609898857,0.0127390794875,0.000455077918609,-1.52290483117,0
19,0,-1.50380528611,0.00983341071397,0.000527996325397,-1.49344387907,-2.22044604925e-16
20,0,-1.39466445606,0.0154546350366,0.00058004207493,-1.37862977895,2.22044604925e-16
21,0,0.198679217545,0.0260620372215,0.000696973302205,0.225438228069,2.77555756156e-17
22,0,0.195780223804,0.0224379579857,0.000614474349484,0.218832656139,-2.77555756156e-17
23,0,0.209845646259,0.019923100233,0.000536252250542,0.230304998742,-2.77555756156e-17
24,0,-1.42025336493,0.0253574221901,0.000647181468431,-1.39424876127,0
25,0,-1.38221601186,0.0211919055508,0.00065305189616,-1.36037105442,0
26,0,-1.3595390658,0.0164127153403,0.000672471950062,-1.34245387851,2.22044604925e-16
27,0,0.192155607921,0.0185735096934,0.000837156253323,0.211566273868,2.77555756156e-17
28,0,0.213411932148,0.0233170356732,0.000826054327852,0.237555022149,5.55111512313e-17
29,0,0.184930705561,0.0219498099473,0.000792227848806,0.207672743357,2.77555756156e-17
30,0,-1.39443783007,0.014210247418,0.000913740962313,-1.37931384169,0
31,0,-1.31983781222,0.00270532903271,0.000840638347285,-1.31629184484,-2.22044604925e-16
32,0,-1.27287471182,-0.0034384170799,0.000771910944468,-1.27554121796,-2.22044604925e-16
33,0,0.189513455317,-0.0122305307913,0.000901825950221,0.178184750476,2.77555756156e-17
34,0,0.210901808794,-0.0197075442878,0.000866949521731,0.192061214028,8.32667268469e-17
35,0,0.235734357051,-0.0137163281001,0.000809800593635,0.222827829545,-1.38777878078e-16
36,0,-1.22336751264,-0.00609676264964,0.000918112123093,-1.22854616317,-8.881784197e-16
37,0,-1.20045460374,-0.00138784209341,0.000853348607049,-1.20098909723,-4.4408920985e-16
38,0,-1.15788068898,0.00154333029464,0.000780061424239,-1.15555729726,-4.4408920985e-16
39,0,0.232339806011,-0.000864399817757,0.000837352102538,0.232312758295,0
40,0,0.184908141154,-0.00818518658486,0.000717234694602,0.177440189264,0
41,0,0.127098784321,-0.010411332432,0.000633359349331,0.117320811239,0
42,0,-1.2989832484,-0.0122196760327,0.00074259459781,-1.31046032983,0
43,0,-1.2323972814,-0.0104284459027,0.00063709828182,-1.24218862902,0
44,0,-1.18100772909,-0.00885633495676,0.000500916984093,-1.18936314706,4.4408920985e-16
45,0,0.156405253539,-0.0141434763915,0.000474220215283,0.142735997363,0
46,0,0.101314315028,-0.0131132146419,0.000281417621461,0.0884825180074,-4.16333634234e-17
47,0,0.0697909790463,-0.0105651581146,0.000114608555792,0.0593404294875,0
48,0,-1.25001407352,-0.0137127741368,4.01927812425e-06,-1.26372282838,4.4408920985e-16
49,0,-1.17575165984,-0.0137045292657,-8.32275579274e-05,-1.18953941666,-2.22044604925e-16
50,0,-1.08863875889,-0.00805832756722,-0.00013155598974,-1.09682864245,2.22044604925e-16
51,0,0.0426779910504,-0.0064156302501,-0.000221760355799,0.0360406004445,-6.93889390391e-18
52,0,-0.0297752152957,-0.00457919377241,-0.000201405539785,-0.0345558146079,0
53,0,-0.111108294449,-0.00219027084016,-0.000151469590471,-0.11345003488,-4.16333634234e-17
54,0,-1.2150113445,-0.00289713165514,-0.000243254123845,-1.21815173028,-2.22044604925e-16
55,0,-0.953160803588,-0.00162900101864,-0.000173701448843,-0.954963506056,-1.11022302463e-16
56,0,-0.558368751789,-0.000802960694623,-0.000113390048214,-0.559285102532,-2.22044604925e-16
57,0,-0.216721961349,-0.000355592372705,-5.02462102003e-05,-0.217127799932,-2.77555756156e-17
58,0,-0.0228065586271,-5.14150707724e-05,-5.76696601599e-06,-0.0228637406639,-3.46944695195e-18
59,0,0,0,0,0,0
60,0,0,0,0,0,0
TOTAL,0,-31.6665123557,0.214051878944,0.0187069108385,-31.4337535659,-1.49533163629e-15
