k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,0.196570685809,0.000590223617609,0.197160909426,0
2,0,0.552318703916,0.00439099106354,0.556709694979,1.11022302463e-16
3,0,-0.428011813417,0.00539058714846,-0.422621226269,5.55111512313e-17
4,0,-0.503550463982,0.00460787601739,-0.498942587964,0
5,0,-0.470656952628,0.00492133290286,-0.465735619725,0
6,0,1.99223958908,-0.00158752909281,1.99065205999,0
7,0,2.11010315632,-0.00740365529305,2.10269950103,-4.4408920985e-16
8,0,2.44474095015,0.000142134613075,2.44488308477,4.4408920985e-16
9,0,-0.432433472389,-0.00135349506194,-0.433786967451,0
10,0,-0.323322303598,-0.00659019482271,-0.329912498421,0
11,0,-0.377615899159,-0.00922123508189,-0.386837134241,0
12,0,2.18452716437,-0.0243513473458,2.16017581703,0
13,0,2.39437420491,-0.0253657089767,2.36900849593,-4.4408920985e-16
14,0,2.40705918317,-0.01128809309,2.39577109008,0
15,0,-0.324371008438,-0.0109874472198,-0.335358455658,0
16,0,-0.457592651085,-0.0246051659577,-0.482197817043,0
17,0,-0.48262008365,-0.0327753021561,-0.515395385806,0
18,0,1.91169205965,-0.0222358649808,1.88945619467,0
19,0,2.02498323133,-0.0211002382391,2.00388299309,0
20,0,2.07636781435,-0.0100850154015,2.06628279895,0
21,0,-0.365272552714,0.0095401725448,-0.35573238017,0
22,0,-0.415135866562,0.0102335322166,-0.404902334345,0
23,0,-0.61252710793,-0.00920917166453,-0.621736279595,0
24,0,1.5203880517,-0.0102478938428,1.51014015786,0
25,0,1.55324818706,-0.0159892987827,1.53725888828,0
26,0,1.66163945202,-0.022042042706,1.63959740931,0
27,0,-0.645063060057,-0.0100709452806,-0.655134005338,0
28,0,-0.629658021689,-0.00744439552689,-0.637102417216,0
29,0,-0.674716182452,-0.00405089828784,-0.678767080739,0
30,0,1.42538023955,0.000937488913747,1.42631772846,2.22044604925e-16
31,0,1.64932322834,2.31518175793e-05,1.64934638016,0
32,0,1.7301326465,-0.00815957834854,1.72197306815,2.22044604925e-16
33,0,-0.496069585327,-0.00989428016004,-0.505963865487,0
34,0,-0.591597331968,-0.0053755124388,-0.596972844407,0
35,0,-0.767822616243,-0.000401040549822,-0.768223656793,1.11022302463e-16
36,0,1.26209202597,-0.00635502504666,1.25573700092,0
37,0,1.26658108624,-0.00443819915775,1.26214288708,0
38,0,1.31698062996,0.0111949008532,1.32817553081,0
39,0,-0.93216122964,0.00780591427383,-0.924355315366,0
40,0,-1.0445651005,-0.000619758073057,-1.04518485857,0
41,0,-1.113257607,-0.00465528578821,-1.11791289279,-2.22044604925e-16
42,0,0.895195734005,0.00223925543233,0.897434989437,0
43,0,0.962537668433,0.0135753582245,0.976113026657,0
44,0,1.06356541474,0.0283602692669,1.09192568401,0
45,0,-1.18988137119,0.0302164181895,-1.159664953,2.22044604925e-16
46,0,-1.25303951348,0.0391539481607,-1.21388556531,0
47,0,-1.39637069217,0.0419439499578,-1.35442674221,0
48,0,0.75777013548,0.0248006805144,0.782570815994,0
49,0,0.974763339149,0.0294149715115,1.00417831066,0
50,0,1.20470540328,0.029098931794,1.23380433508,0
51,0,-1.29423498483,0.0163016233177,-1.27793336151,0
52,0,-1.42935081378,0.0189932547226,-1.41035755906,0
53,0,-1.56021163351,0.0208287303202,-1.53938290319,0
54,0,1.01107081078,0.0152054423874,1.02627625317,0
55,0,1.70785950087,0.0239961032858,1.73185560415,0
56,0,2.75933434747,0.0336988152125,2.79303316268,0
57,0,-1.75761527056,0.00788367335571,-1.7497315972,0
58,0,-2.61840186525,0.00520213042207,-2.61319973483,0
59,0,-3.95382659397,-0.0013372337447,-3.95516382772,4.4408920985e-16
60,0,0,0,0,0
TOTAL,0,16.4765909954,0.11145100994,16.5880420054,7.21644966006e-16
