k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,-0.0139285210183,-1.55862957644e-05,-0.013944107314,3.46944695195e-18
2,0,-0.0311767858085,-0.000203521241455,-0.0313803070499,0
3,0,0.553146705149,-0.00134276500777,0.551803940141,0
4,0,0.661121210194,-0.0024099857481,0.658711224446,1.11022302463e-16
5,0,0.682212105464,-0.00342572342677,0.678786382037,0
6,0,-1.76057024951,-0.00737866357162,-1.76794891308,0
7,0,-1.76247485431,-0.00665957619481,-1.7691344305,-2.22044604925e-16
8,0,-1.78326291702,-0.0125655272544,-1.79582844428,0
9,0,1.8258768012,-0.0252115846944,1.8006652165,-2.22044604925e-16
10,0,1.77031623009,-0.0214936387898,1.7488225913,4.4408920985e-16
11,0,1.54670535814,-0.0243004554073,1.52240490273,0
12,0,-3.58489757124,-0.0477484281493,-3.63264599939,0
13,0,-3.41905581862,-0.0413507912635,-3.46040660989,0
14,0,-3.03105078348,-0.0315777998992,-3.06262858338,-4.4408920985e-16
15,0,2.4290766687,-0.0484208885042,2.38065578019,0
16,0,1.98663739188,-0.0459338052629,1.94070358661,2.22044604925e-16
17,0,1.57871835171,-0.0301551273898,1.54856322432,0
18,0,-5.05024049439,-0.0221917741433,-5.07243226853,0
19,0,-4.95248036574,0.00182584981264,-4.95065451593,8.881784197e-16
20,0,-4.32507635519,0.00509824044882,-4.31997811474,0
21,0,2.90634404764,-0.0160681462239,2.89027590142,-4.4408920985e-16
22,0,2.68016838823,-0.0256637558447,2.65450463238,0
23,0,2.36818602446,-0.0226138050751,2.34557221939,0
24,0,-5.61962902354,-0.0273996987619,-5.6470287223,0
25,0,-5.17543261235,-0.0227052967499,-5.19813790909,0
26,0,-5.02242207677,-0.0237008317518,-5.04612290852,-8.881784197e-16
27,0,3.48729954078,-0.0292599029144,3.45803963787,0
28,0,3.13779130585,-0.0353078568811,3.10248344897,4.4408920985e-16
29,0,2.70564930537,-0.0447167166045,2.66093258877,0
30,0,-6.47243687706,-0.0527939596486,-6.52523083671,8.881784197e-16
31,0,-6.03885363856,-0.0351081484232,-6.07396178698,-8.881784197e-16
32,0,-5.60145757227,-0.0130135530026,-5.61447112527,0
33,0,3.71671205307,-0.0121313310131,3.70458072206,0
34,0,3.66098088306,-0.021125876754,3.63985500631,4.4408920985e-16
35,0,3.31474014197,-0.0290447362826,3.28569540569,0
36,0,-6.45714866925,-0.0292321835923,-6.48638085284,0
37,0,-6.1795373716,-0.00843489605405,-6.18797226766,8.881784197e-16
38,0,-5.83029393244,0.00404319855311,-5.82625073389,-8.881784197e-16
39,0,3.78472230511,0.0210740655343,3.80579637065,-4.4408920985e-16
40,0,3.22660695524,0.0198783168356,3.24648527208,4.4408920985e-16
41,0,2.46292927542,0.011484054788,2.47441333021,0
42,0,-7.62607771263,-0.00678002110763,-7.63285773374,-8.881784197e-16
43,0,-6.88513581621,0.00336598737115,-6.88176982884,0
44,0,-6.23902321795,0.013972215179,-6.22505100277,0
45,0,3.32392517229,0.0112089079171,3.33513408021,-4.4408920985e-16
46,0,2.54882878538,-0.00570214527755,2.5431266401,0
47,0,1.97363417398,-0.0124169981243,1.96121717586,2.22044604925e-16
48,0,-7.80356395264,-0.0291614883931,-7.83272544103,-8.881784197e-16
49,0,-6.67982190386,-0.025579885723,-6.70540178959,0
50,0,-5.46963436832,-0.0110720901499,-5.48070645847,8.881784197e-16
51,0,2.58568166086,-0.00667944169658,2.57900221916,0
52,0,1.37709505821,-0.00872210158899,1.36837295663,0
53,0,0.387636988769,-0.00779545378785,0.379841534981,0
54,0,-7.0797323451,-0.0165263474103,-7.09625869251,0
55,0,-4.31485326177,-0.00685846312578,-4.3217117249,0
56,0,-1.82600106494,-0.00171343925423,-1.82771450419,2.22044604925e-16
57,0,-0.365803000671,4.94190319203e-05,-0.365753581639,5.55111512313e-17
58,0,-0.00440119889991,-1.20464073443e-08,-0.00440121094631,-8.67361737988e-19
59,0,0,0,0,0
60,0,0,0,0,0
TOTAL,0,-73.7227314449,-0.867713970036,-74.590445415,-4.96998275867e-16
