k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,0.358746503634,-3.77025015155e-05,0,0.358708801132,0
2,0,0.47758140339,-0.00286225536897,0.000112528260354,0.474831676281,0
3,0,-5.03866834815,0.0272647871165,0.000307106224157,-5.01109645481,8.881784197e-16
4,0,-4.91693987594,0.0232145912908,0.000569385285729,-4.89315589937,1.7763568394e-15
5,0,-4.72149429644,-0.00906837649746,0.000901576518349,-4.72966109642,0
6,0,6.35001565583,0.00465542160075,0.00107920663949,6.35575028407,-8.881784197e-16
7,0,6.36359252361,0.0454137153052,0.00143968173052,6.41044592064,1.7763568394e-15
8,0,6.53358483184,0.0886450040962,0.00179330344052,6.62402313938,8.881784197e-16
9,0,-4.04979689476,0.0696787719675,0.00198231964595,-3.97813580315,0
10,0,-3.93497132448,0.0808488972599,0.00262563971832,-3.8514967875,1.33226762955e-15
11,0,-3.96866838204,0.129664265281,0.00325441305875,-3.8357497037,4.4408920985e-16
12,0,5.72823739532,0.118890630834,0.00328695037347,5.85041497652,0
13,0,6.06162677648,0.106465098641,0.00408821650242,6.17218009162,-8.881784197e-16
14,0,5.99524828887,0.102645463848,0.00493091318833,6.1028246659,-8.881784197e-16
15,0,-3.53451691902,0.070704600074,0.00460025409425,-3.45921206486,-4.4408920985e-16
16,0,-3.69537969312,0.0389889375058,0.00531468765111,-3.65107606796,4.4408920985e-16
17,0,-3.59617324836,0.0462293807035,0.00607153453498,-3.54387233312,-4.4408920985e-16
18,0,5.05750121379,0.05051852899,0.00541583171915,5.1134355745,8.881784197e-16
19,0,5.13450892395,0.0435630606761,0.00581653539462,5.18388852002,-8.881784197e-16
20,0,5.09896164048,0.0760441617831,0.00604727294838,5.18105307521,-8.881784197e-16
21,0,-3.25821537705,0.0934351433991,0.00499209477694,-3.15978813887,0
22,0,-3.37886971407,0.089854292021,0.0053102189822,-3.28370520307,4.4408920985e-16
23,0,-3.75545405378,0.0904444084452,0.00577527447861,-3.65923437086,4.4408920985e-16
24,0,4.07182741845,0.0831156603205,0.00488171061534,4.15982478939,-8.881784197e-16
25,0,4.16234465373,0.0779813852345,0.00528436852143,4.24561040748,-8.881784197e-16
26,0,4.28402703615,0.0675408000765,0.00570059996203,4.35726843619,0
27,0,-3.25359705993,0.0573220742438,0.00479066235772,-3.19148432332,1.33226762955e-15
28,0,-3.42029934498,0.0830033291509,0.00518460437292,-3.33211141146,-1.33226762955e-15
29,0,-3.52966272704,0.0884465229029,0.00563538968283,-3.43558081446,0
30,0,3.59424528586,0.0405563234261,0.00477091312353,3.63957252241,4.4408920985e-16
31,0,3.79638334088,0.00887811948168,0.00522120278545,3.81048266315,-1.7763568394e-15
32,0,3.91019349519,-0.0130547374473,0.00566224872312,3.90280100647,-4.4408920985e-16
33,0,-2.89765450069,-0.0328153274663,0.00454637052274,-2.92592345764,8.881784197e-16
34,0,-3.08238319895,-0.0624192485717,0.00490061288175,-3.13990183464,-1.33226762955e-15
35,0,-3.48341935761,-0.051351190664,0.00531040848381,-3.52946013979,8.881784197e-16
36,0,2.91282611853,-0.0162719190089,0.00427450137533,2.9008287009,4.4408920985e-16
37,0,2.96183600717,-0.00454191472309,0.00472408705027,2.9620181795,0
38,0,3.02358019738,0.00598046506471,0.00511284288718,3.03467350534,-1.33226762955e-15
39,0,-3.44606133566,-0.00240339833913,0.00390843354037,-3.44455630046,-4.4408920985e-16
40,0,-3.62513361946,-0.0255390324426,0.00417422460481,-3.6464984273,-4.4408920985e-16
41,0,-3.79515609081,-0.0396650811006,0.00444335868398,-3.83037781323,-8.881784197e-16
42,0,2.32971351436,-0.0306244448288,0.00329806749001,2.30238713702,8.881784197e-16
43,0,2.48179941071,-0.0327828113244,0.00361807288823,2.45263467227,-4.4408920985e-16
44,0,2.68032413276,-0.0359987666732,0.00397819098662,2.64830355708,0
45,0,-3.60379181164,-0.0360618630742,0.00280266411591,-3.63705101059,0
46,0,-3.78386692279,-0.0435557119247,0.00304871334194,-3.82437392137,-4.4408920985e-16
47,0,-4.0519591171,-0.0475932006541,0.00340192572952,-4.09615039202,0
48,0,1.98620496744,-0.0359786887651,0.00238896178634,1.95261524046,6.66133814775e-16
49,0,2.42497326231,-0.0506206892154,0.00277995597349,2.37713252907,0
50,0,2.8654391355,-0.0444968457964,0.00326641319106,2.82420870289,-4.4408920985e-16
51,0,-3.55985671857,-0.0188005193906,0.00204838151097,-3.57660885645,-4.4408920985e-16
52,0,-3.91547371628,-0.0220555713932,0.00240455358392,-3.93512473409,0
53,0,-4.15817421178,-0.0201102300983,0.0028973496057,-4.17538709228,1.7763568394e-15
54,0,2.4594147405,-0.0116141345506,0.00179569047336,2.44959629642,-4.4408920985e-16
55,0,3.45442077191,-0.0139099851012,0.00238124559292,3.4428920324,8.881784197e-16
56,0,4.33210499507,-0.0155001891426,0.00308633348699,4.31969113941,0
57,0,-4.26634800843,-0.00697328879081,0.00124389380716,-4.27207740341,0
58,0,-5.73909893256,-0.0129522331004,0.00167668220703,-5.75037448345,-1.7763568394e-15
59,0,-7.34065446891,-0.018109901865,0.00215206544322,-7.35661230533,-8.881784197e-16
60,0,0,0,0,0,0
TOTAL,0,-7.91047562933,1.15222458092,0.212510646556,-6.54574040186,-2.44249065418e-15
