k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,0.794754049817,-0.0691746945067,0.72557935531,0
2,0,1.05904719094,-0.15523272944,0.903814461496,0
3,0,-11.1932672644,-0.139919139911,-11.3331864043,1.7763568394e-15
4,0,-10.9483968555,-0.131718866331,-11.0801157218,0
5,0,-10.5271754653,-0.0522761331229,-10.5794515985,0
6,0,14.1613341107,0.00192650733647,14.1632606181,1.7763568394e-15
7,0,14.1905756343,-0.128712937738,14.0618626966,1.7763568394e-15
8,0,14.5653379264,-0.225593796557,14.3397441298,-1.7763568394e-15
9,0,-9.021545443,-0.0679335710971,-9.08947901409,0
10,0,-8.76421016324,0.126822952803,-8.63738721044,0
11,0,-8.82684525152,0.176690148881,-8.65015510264,0
12,0,12.73201787,0.172738110531,12.9047559806,-1.7763568394e-15
13,0,13.5009481026,0.173299750357,13.674247853,0
14,0,13.3890656806,0.257608266238,13.6466739468,0
15,0,-7.90870727206,0.316148088448,-7.59255918361,0
16,0,-8.27399485956,0.34664816075,-7.92734669881,0
17,0,-8.05289638959,0.346308173685,-7.70658821591,0
18,0,11.3270041532,0.206490283177,11.5334944364,0
19,0,11.4952275377,0.140121444725,11.6353489824,1.7763568394e-15
20,0,11.4013776632,0.0756729928778,11.4770506561,-1.7763568394e-15
21,0,-7.27339126804,-0.0141543644702,-7.28754563251,0
22,0,-7.5319357373,-0.0792423105328,-7.61117804783,0
23,0,-8.3794562111,-0.124936357438,-8.50439256854,0
24,0,9.10404021789,-0.113829263607,8.99021095428,0
25,0,9.31089507134,-0.0944675597958,9.21642751154,1.7763568394e-15
26,0,9.58957870292,-0.0480351180591,9.54154358486,0
27,0,-7.29194794582,0.00775034297729,-7.28419760284,8.881784197e-16
28,0,-7.67112648635,-0.0237629112665,-7.69488939761,8.881784197e-16
29,0,-7.92691133673,-0.0464452671261,-7.97335660385,8.881784197e-16
30,0,8.07649958552,-0.000100491205909,8.07639909431,-1.7763568394e-15
31,0,8.53053060196,0.0620468579957,8.59257745996,0
32,0,8.79239831896,0.0890440192221,8.88144233819,0
33,0,-6.52243462279,0.0279903501346,-6.49444427266,0
34,0,-6.93954652523,-0.00596125956086,-6.94550778479,0
35,0,-7.83307218111,-0.027920309554,-7.86099249066,0
36,0,6.5506643833,-0.050775601422,6.49988878188,8.881784197e-16
37,0,6.66481334939,-0.046902184123,6.61791116527,0
38,0,6.80754132453,0.0291515823167,6.83669290685,0
39,0,-7.77224048482,0.0543191671844,-7.71792131763,-8.881784197e-16
40,0,-8.18176057793,0.0801237440292,-8.1016368339,0
41,0,-8.56319402686,0.150022820782,-8.41317120608,-1.7763568394e-15
42,0,5.26033289639,0.146634035051,5.40696693144,0
43,0,5.60904410791,0.150344281272,5.75938838918,0
44,0,6.05599796926,0.149098700606,6.20509666987,0
45,0,-8.13115284094,0.0763242490401,-8.0548285919,-1.7763568394e-15
46,0,-8.53056901456,0.0398833362118,-8.49068567835,0
47,0,-9.13879208874,0.00875374367692,-9.13003834506,0
48,0,4.48386683589,0.00322419665488,4.48709103255,0
49,0,5.48013059371,0.024462004672,5.50459259838,0
50,0,6.48352885771,0.0497491511516,6.53327800887,-8.881784197e-16
51,0,-8.06583854039,0.0481662893862,-8.01767225101,-1.7763568394e-15
52,0,-8.87484506084,0.0581399338435,-8.816705127,0
53,0,-9.42397630939,0.0590813243869,-9.364894985,0
54,0,5.56868794825,0.030953965912,5.59964191416,8.881784197e-16
55,0,7.8188188669,0.0117796506935,7.83059851759,-8.881784197e-16
56,0,9.81604467658,-0.0249607569174,9.79108391967,0
57,0,-9.67079420403,-0.0080182547384,-9.67881245877,1.7763568394e-15
58,0,-13.0087707568,-0.00863504007112,-13.0174057969,-1.7763568394e-15
59,0,-16.6675489006,-0.00192433608301,-16.6694732367,0
60,0,0,0,0,0
TOTAL,0,-18.2962398566,2.00688537233,-16.2893544843,-1.7763568394e-15
