k,phi_DF,phi_ENE,phi_PD_bank,phi_S_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0,0
1,0,-0.639946132898,-4.85218812707e-06,0,-0.639950985086,1.11022302463e-16
2,0,-0.542865724994,-0.000333253966547,-1.57255180994e-05,-0.543214704479,-1.11022302463e-16
3,0,0.375159799222,0.00376447722425,-6.22640338386e-05,0.378862012413,5.55111512313e-17
4,0,0.323174198834,0.00289405358843,-9.97836069456e-05,0.325968468816,-1.11022302463e-16
5,0,0.278573345594,-0.00102564768335,-0.00011845672633,0.277429241185,-5.55111512313e-17
6,0,-1.54134214021,0.000749805100632,-0.000168305778722,-1.54076064089,-8.881784197e-16
7,0,-1.49863900886,0.00654797710633,-0.000151649977412,-1.49224268174,0
8,0,-1.42839385027,0.0116331470995,-0.000116686972319,-1.41687739015,-2.22044604925e-16
9,0,0.238522835573,0.0123390998194,-0.000136150204081,0.250725785188,0
10,0,0.240290110597,0.0130638623025,-0.000124458667874,0.253229514232,0
11,0,0.206409932565,0.0188853200095,-9.42151408857e-05,0.225201037434,2.77555756156e-17
12,0,-1.48123395397,0.0238221077423,-7.59292339878e-05,-1.45748777546,0
13,0,-1.48749139501,0.0193973908738,2.85888343952e-05,-1.4680654153,0
14,0,-1.41086721586,0.0167656175376,0.000115581909047,-1.39398601641,-2.22044604925e-16
15,0,0.217390369172,0.0155333041787,0.000172053508828,0.23309572686,-2.77555756156e-17
16,0,0.16913921265,0.00773642551855,0.000208756044638,0.177084394213,0
17,0,0.0818725292587,0.00834243133481,0.000287111613491,0.0905020722071,-1.38777878078e-17
18,0,-1.53597462703,0.0125030466463,0.000456981929247,-1.52301459846,4.4408920985e-16
19,0,-1.50351043538,0.00978144412207,0.000528736143492,-1.49320025512,0
20,0,-1.39326741877,0.0154655718811,0.000578757914709,-1.37722308898,0
21,0,0.199726749131,0.0258068833828,0.00069462479398,0.226228257308,0
22,0,0.195955424632,0.0223569844019,0.00061152963729,0.218923938671,2.77555756156e-17
23,0,0.209338365521,0.0200094837956,0.000533610684418,0.229881460001,8.32667268469e-17
24,0,-1.42140584068,0.0254182957028,0.000644640491307,-1.39534290449,0
25,0,-1.38193902699,0.0210822892946,0.000650901228011,-1.36020583647,0
26,0,-1.35979412596,0.0160976507392,0.000670694344987,-1.34302578087,2.22044604925e-16
27,0,0.192207543584,0.0184719576685,0.000835448217095,0.211514949469,-2.77555756156e-17
28,0,0.213864852046,0.0235001001169,0.000824777028792,0.238189729192,-5.55111512313e-17
29,0,0.184149764873,0.0218965933271,0.000790872749183,0.206837230949,2.77555756156e-17
30,0,-1.39380400728,0.0139977087264,0.000912447851499,-1.3788938507,-2.22044604925e-16
31,0,-1.31985906246,0.00268368947043,0.000840410539049,-1.31633496245,2.22044604925e-16
32,0,-1.27221531345,-0.00342485584764,0.000771311068248,-1.27486885823,2.22044604925e-16
33,0,0.189549137911,-0.012169412913,0.000900954706415,0.178280679705,0
34,0,0.210789170533,-0.0196643869578,0.000867153505564,0.191991937081,0
35,0,0.235655638667,-0.0137669640488,0.00081014830894,0.222698822927,2.77555756156e-17
36,0,-1.22226715633,-0.0062714268472,0.000918605294875,-1.22761997788,4.4408920985e-16
37,0,-1.20054668388,-0.00144511727536,0.000854132125152,-1.20113766903,0
38,0,-1.15797637174,0.00157890659078,0.00078018181686,-1.15561728334,-2.22044604925e-16
39,0,0.23287559258,-0.000933421034549,0.000837180642235,0.232779352188,2.77555756156e-17
40,0,0.185174185507,-0.00822795781178,0.000716637569573,0.177662865265,2.77555756156e-17
41,0,0.126983479238,-0.0103928199358,0.000632315882628,0.117222975185,0
42,0,-1.2987834225,-0.0122329874867,0.000741815875153,-1.31027459411,4.4408920985e-16
43,0,-1.23270749355,-0.0104400805695,0.000637023976927,-1.24251055014,-2.22044604925e-16
44,0,-1.18091801599,-0.008909072881,0.000501010771495,-1.1893260781,4.4408920985e-16
45,0,0.156137161858,-0.0142458751853,0.000474515223179,0.142365801896,-2.77555756156e-17
46,0,0.10148073406,-0.0132169250707,0.000281039354376,0.088544848344,0
47,0,0.069625695683,-0.0106220220382,0.000113750114302,0.0591174237591,0
48,0,-1.24975759958,-0.0136737704419,2.87363996443e-06,-1.26342849639,-2.22044604925e-16
49,0,-1.17594337045,-0.0136436387158,-8.46329359405e-05,-1.1896716421,2.22044604925e-16
50,0,-1.0889396126,-0.00801092105667,-0.000132972397881,-1.09708350605,2.22044604925e-16
51,0,0.0427248194325,-0.00639129434994,-0.000223070947834,0.0361104541348,6.93889390391e-18
52,0,-0.0300511816579,-0.00457358516895,-0.000202148697881,-0.0348269155247,0
53,0,-0.111099622512,-0.00216757929398,-0.000151804993765,-0.1134190068,1.38777878078e-17
54,0,-1.21503307909,-0.00286789951185,-0.000243780662447,-1.21814475927,-2.22044604925e-16
55,0,-0.953104234891,-0.00163500837146,-0.000174163516809,-0.95491340678,-3.33066907388e-16
56,0,-0.558378148082,-0.000805361551773,-0.000113671230496,-0.559297180864,-1.11022302463e-16
57,0,-0.216720786437,-0.000354288971314,-5.03745768641e-05,-0.217125449985,-2.77555756156e-17
58,0,-0.0228066396858,-5.14802923572e-05,-5.78287283483e-06,-0.022863902851,-6.93889390391e-18
59,0,0,0,0,0,0
60,0,0,0,0,0,0
TOTAL,0,-31.6508120503,0.210623717835,0.0186811466461,-31.4215071859,-2.77555756156e-17
