k,phi_DF,phi_EPE,phi_PD_cpty,delta_leg,check(phi_sum-delta)
0,0,0,0,0,0
1,0,-0.170115734885,-4.44102500405e-05,-0.170160145135,0
2,0,-0.187700173397,0.000407818089863,-0.187292355307,2.77555756156e-17
3,0,1.30336647478,0.00276580271567,1.3061322775,0
4,0,1.27982990519,0.00106732526483,1.28089723045,0
5,0,1.29025946466,-0.00481524405317,1.28544422061,0
6,0,-3.10841800499,-0.0101104019661,-3.11852840696,0
7,0,-2.99963429645,-0.000549744140685,-3.00018404059,4.4408920985e-16
8,0,-2.99454296485,-0.00059452388929,-2.99513748874,0
9,0,1.81279836457,-0.00523336582976,1.80756499874,2.22044604925e-16
10,0,1.75513301827,0.00623410749837,1.76136712577,2.22044604925e-16
11,0,1.58798682288,0.0164800813981,1.60446690428,-2.22044604925e-16
12,0,-4.2892001875,0.026050833527,-4.26314935398,0
13,0,-4.20415563397,0.0247526416705,-4.1794029923,0
14,0,-3.85337236003,0.0268729381935,-3.82649942184,0
15,0,2.1147172708,0.0313122885518,2.14602955935,0
16,0,1.74378087259,0.0161045969495,1.75988546954,0
17,0,1.26311319053,-0.00119183782435,1.2619213527,0
18,0,-5.3627897278,-0.0352299269417,-5.39801965474,0
19,0,-5.30415901885,-0.0310553492384,-5.33521436809,0
20,0,-4.71324654547,-0.0205483472401,-4.73379489271,0
21,0,2.35717898889,-0.0399770574944,2.31720193139,0
22,0,2.21695420003,-0.0495580016779,2.16739619836,0
23,0,1.95379566185,-0.0767673516373,1.87702831022,0
24,0,-5.59032649852,-0.13021674518,-5.7205432437,0
25,0,-5.26229587682,-0.10698186528,-5.3692777421,0
26,0,-5.14206186665,-0.0745315001587,-5.21659336681,0
27,0,2.5023964577,-0.0876852934742,2.41471116423,0
28,0,2.35069846002,-0.0730177064814,2.27768075354,0
29,0,2.1220318237,-0.0416998883161,2.08033193538,0
30,0,-5.9606346367,-0.0474499805215,-6.00808461723,8.881784197e-16
31,0,-5.64871721281,-0.0366306039461,-5.68534781676,-8.881784197e-16
32,0,-5.32335668749,-0.0215718002232,-5.34492848771,0
33,0,2.68000945804,-0.0460466464548,2.63396281159,-4.4408920985e-16
34,0,2.69897190088,-0.0562244768211,2.64274742406,0
35,0,2.53966498391,-0.0386055400072,2.50105944391,0
36,0,-5.73464399854,-0.0088220247753,-5.74346602331,-8.881784197e-16
37,0,-5.56240812599,0.0238216590911,-5.53858646689,0
38,0,-5.33347614321,0.0259261078504,-5.30755003536,0
39,0,2.68557200152,0.0109894702572,2.69656147178,0
40,0,2.28853008895,-0.00601863812318,2.28251145083,0
41,0,1.76727912355,-0.00736665440005,1.75991246915,-2.22044604925e-16
42,0,-6.57366422007,-0.0296673756679,-6.60333159573,8.881784197e-16
43,0,-6.0622977387,-0.0449191794191,-6.10721691812,0
44,0,-5.63280377379,-0.0432336003769,-5.67603737417,8.881784197e-16
45,0,2.24384966359,-0.0491150453086,2.19473461828,0
46,0,1.70048754202,-0.013221696463,1.68726584555,0
47,0,1.35371756892,0.00262828898276,1.3563458579,0
48,0,-6.61196775729,0.00956000002966,-6.60240775726,0
49,0,-5.85241088871,0.0108122718136,-5.8415986169,0
50,0,-5.04461387832,0.00490087284036,-5.03971300548,-8.881784197e-16
51,0,1.61539326545,0.00945765644051,1.62485092189,-2.22044604925e-16
52,0,0.843807506901,0.00970686480417,0.853514371705,1.11022302463e-16
53,0,0.148625065842,0.00657920067117,0.155204266513,0
54,0,-6.17887896723,0.0128026073464,-6.16607635988,0
55,0,-4.11320904958,0.00495311643456,-4.10825593315,-8.881784197e-16
56,0,-1.95781724552,0.000675596546942,-1.95714164897,0
57,0,-0.505847694823,-0.00031278813127,-0.506160482955,1.11022302463e-16
58,0,-0.0153300886586,-3.57840174308e-06,-0.0153336670603,0
59,0,0,0,0,0
60,0,0,0,0,0
TOTAL,0,-85.0741478516,-0.954156043147,-86.0283038947,-8.60422844084e-16
